DigitalId,Name,Department,Year,Email,MobileNo,Place,ParentName,ParentMobile,ParentEmail
2320609,VIKRMAN S,CSE,II,svvikraman18@gmail.com,7604838195,SSN,VIKRAM PARENT,7604838195,svvikraman18@gmail.com
2320982,VISHNU,CSE,I,svishn@gmail.com,7654357664,CHENNAI,VISHNUPARENT,7654355864,svi@gmail.com
2320611,THARUN,MECH,II,tharunr06@gmail.com,8776054321,CHENNAI,SENTHIL,9876054321,tha24@ssn.edu.in
2320612,SERAN,CSE,III,seran123@gmaiiil.com,7654357345,SALEM,PANDIYAN,7654357345,seran123@gmaiiil.com
2320613,SARAVANAN E,CSE,I,saravanane123@gmail.com,7654357456,MADURAI,SARA,7654357456,saravanane123@gmail.com
2320614,KAMALESH,IT,I,kamalesh123@gmail.com,7654357567,TVM,KAMALESHPARENT,7654357567,kamalesh123@gmail.com
2320615,JANA,IT,III,jana123@gmaiiil.com,7654357678,NAMMAKAL,JANAPARENT,7654357678,jana123@gmail.com
2320616,SIMMA,IT,IV,simma123@gmaivl.com,7654357890,SALEM,SIMMAPARENT,7654357890,simma123@gmail.com
2320617,BALA,CIVIL,II,bala123@gmaiil.com,7654351120,TUTICORIN,BALAPARENT,7654357120,bala123@gmail.com
2320618,VALATHI A,CIVIL,II,valathi100@gail.com,9443716100,TIRUNELVELI,KAMESH,654328358,valathinetworld@gmai.com
2310610,ARJUN,IT,I,arjun2310610@gmail.com,9876543210,MADURAI,RAMANATHAN,9123456789,ramanathan2310610@gmail.com
2310611,RAVI,CSE,III,ravi2310611@gmail.com,8765432109,TIRUNELVELI,MEENAKSHI SUNDARAM,9213456780,meenakshisundaram2310611@gmail.com
2310612,ANAND,CIVIL,II,anand2310612@gmail.com,7654321098,COIMBATORE,RAMASWAMY,9345678912,ramaswamy2310612@gmail.com
2310613,RAKESH,MECH,IV,rakesh2310613@gmail.com,6543210987,TRICHY,LAKSHMANAN,9456789012,lakshmanan2310613@gmail.com
2310614,SURESH,BME,II,suresh2310614@gmail.com,5432109876,CHENNAI,SUBRAMANIAN,9567890123,subramanian2310614@gmail.com
2310615,KARTHIK,EEE,III,karthik2310615@gmail.com,4321098765,MADURAI,MURUGAN,9678901234,murugan2310615@gmail.com
2310616,VIKRAM,ECE,I,vikram2310616@gmail.com,3210987654,SALEM,GEETHA,9789012345,geetha2310616@gmail.com
2310617,PRANAV,CHEM,IV,pranav2310617@gmail.com,2109876543,TIRUPPUR,KANNAN,9890123456,kannan2310617@gmail.com
2310618,SURESH,MECH,III,suresh2310618@gmail.com,1098765432,ERODE,SEETHALAKSHMI,9901234567,seethalakshmi2310618@gmail.com
2310619,RAJESH,CSE,II,rajesh2310619@gmail.com,9988776655,KANYAKUMARI,SENTHIL,9123567890,senthil2310619@gmail.com
2310620,RAHUL,IT,III,rahul2310620@gmail.com,9977665544,MADURAI,VIJAYAKUMAR,9234567891,vijayakumar2310620@gmail.com
2310621,VIKAS,EEE,II,vikas2310621@gmail.com,9966554433,TIRUNELVELI,SUGANTHI,9345678902,suganthi2310621@gmail.com
2310622,ARUN,CIVIL,I,arun2310622@gmail.com,9955443322,NAMAKKAL,PONNUSAMY,9456789013,ponnusamy2310622@gmail.com
2310623,KAVIN,ECE,III,kavin2310623@gmail.com,9944332211,SALEM,JAYANTHI,9567890124,jayanthi2310623@gmail.com
2310624,VIGNESH,BME,IV,vignesh2310624@gmail.com,9933221100,VILLUPURAM,PARAMASIVAM,9678901235,paramasivam2310624@gmail.com
2310625,SARATH,CHEM,II,sarath2310625@gmail.com,9922110099,CHENNAI,RATHINAM,9789012346,rathinam2310625@gmail.com
2310626,HARISH,IT,I,harish2310626@gmail.com,9911009988,TIRUPPUR,THANGAMANI,9890123457,thangamani2310626@gmail.com
2310627,DHANUSH,CSE,IV,dhanush2310627@gmail.com,9900098877,COIMBATORE,GOMATHI,9901234568,gomathi2310627@gmail.com
2310628,NAVEEN,MECH,III,naveen2310628@gmail.com,9899987766,MADURAI,MARIMUTHU,9012345678,marimuthu2310628@gmail.com
2310629,RAJESH,EEE,I,rajesh2310629@gmail.com,9888876655,ERODE,NIRMALA,9123456781,nirmala2310629@gmail.com
2310630,AJAY,IT,I,ajay2310630@gmail.com,9812345678,MADURAI,RAMESH,9123456789,ramesh2310630@gmail.com
2310631,ROHIT,CSE,II,rohit2310631@gmail.com,9823456789,TIRUNELVELI,MEENAL,9234567890,meenal2310631@gmail.com
2310632,VIVEK,CIVIL,III,vivek2310632@gmail.com,9834567890,COIMBATORE,RAMANUJAN,9345678901,ramanujan2310632@gmail.com
2310633,MANOJ,MECH,IV,manoj2310633@gmail.com,9845678901,TRICHY,MURALI,9456789012,murali2310633@gmail.com
2310634,AKASH,BME,II,akash2310634@gmail.com,9856789012,CHENNAI,LAKSHMI,9567890123,lakshmi2310634@gmail.com
2310635,KIRAN,EEE,III,kiran2310635@gmail.com,9867890123,MADURAI,RAMESH,9678901234,ramesh2310635@gmail.com
2310636,VIKRANT,ECE,I,vikrant2310636@gmail.com,9878901234,SALEM,GOWRI,9789012345,gowri2310636@gmail.com
2310637,RAGHAV,CHEM,IV,raghav2310637@gmail.com,9889012345,TIRUPPUR,MAHALAKSHMI,9890123456,mahalakshmi2310637@gmail.com
2310638,KUMAR,MECH,III,kumar2310638@gmail.com,9890123456,ERODE,NAGARAJAN,9901234567,nagarajan2310638@gmail.com
2310639,ADITYA,CSE,II,aditya2310639@gmail.com,9801234567,KANYAKUMARI,KALAIVANI,9123456780,kalaivani2310639@gmail.com
2310640,RAKESH,IT,III,rakesh2310640@gmail.com,9812345670,MADURAI,BALAKRISHNAN,9234567891,balakrishnan2310640@gmail.com
2310641,DEEPAK,EEE,I,deepak2310641@gmail.com,9823456701,TIRUNELVELI,SARASWATHI,9345678902,saraswathi2310641@gmail.com
